"CountryCode","gdpRank","X.2","fullName","gdpValue","X.5","X.6","X.7","X.8","X.9"
"USA",1,NA,"United States"," 16,244,600 ","",NA,NA,NA,NA
"CHN",2,NA,"China"," 8,227,103 ","",NA,NA,NA,NA
"JPN",3,NA,"Japan"," 5,959,718 ","",NA,NA,NA,NA
"DEU",4,NA,"Germany"," 3,428,131 ","",NA,NA,NA,NA
"FRA",5,NA,"France"," 2,612,878 ","",NA,NA,NA,NA
"GBR",6,NA,"United Kingdom"," 2,471,784 ","",NA,NA,NA,NA
"BRA",7,NA,"Brazil"," 2,252,664 ","",NA,NA,NA,NA
"RUS",8,NA,"Russian Federation"," 2,014,775 ","",NA,NA,NA,NA
"ITA",9,NA,"Italy"," 2,014,670 ","",NA,NA,NA,NA
"IND",10,NA,"India"," 1,841,710 ","",NA,NA,NA,NA
"CAN",11,NA,"Canada"," 1,821,424 ","",NA,NA,NA,NA
"AUS",12,NA,"Australia"," 1,532,408 ","",NA,NA,NA,NA
"ESP",13,NA,"Spain"," 1,322,965 ","",NA,NA,NA,NA
"MEX",14,NA,"Mexico"," 1,178,126 ","",NA,NA,NA,NA
"KOR",15,NA,"Korea, Rep."," 1,129,598 ","",NA,NA,NA,NA
"IDN",16,NA,"Indonesia"," 878,043 ","",NA,NA,NA,NA
"TUR",17,NA,"Turkey"," 789,257 ","",NA,NA,NA,NA
"NLD",18,NA,"Netherlands"," 770,555 ","",NA,NA,NA,NA
"SAU",19,NA,"Saudi Arabia"," 711,050 ","",NA,NA,NA,NA
"CHE",20,NA,"Switzerland"," 631,173 ","",NA,NA,NA,NA
"SWE",21,NA,"Sweden"," 523,806 ","",NA,NA,NA,NA
"IRN",22,NA,"Iran, Islamic Rep."," 514,060 ","",NA,NA,NA,NA
"NOR",23,NA,"Norway"," 499,667 ","",NA,NA,NA,NA
"POL",24,NA,"Poland"," 489,795 ","",NA,NA,NA,NA
"BEL",25,NA,"Belgium"," 483,262 ","",NA,NA,NA,NA
"ARG",26,NA,"Argentina"," 475,502 ","",NA,NA,NA,NA
"AUT",27,NA,"Austria"," 394,708 ","",NA,NA,NA,NA
"ZAF",28,NA,"South Africa"," 384,313 ","",NA,NA,NA,NA
"VEN",29,NA,"Venezuela, RB"," 381,286 ","",NA,NA,NA,NA
"COL",30,NA,"Colombia"," 369,606 ","",NA,NA,NA,NA
"THA",31,NA,"Thailand"," 365,966 ","",NA,NA,NA,NA
"ARE",32,NA,"United Arab Emirates"," 348,595 ","",NA,NA,NA,NA
"DNK",33,NA,"Denmark"," 314,887 ","",NA,NA,NA,NA
"MYS",34,NA,"Malaysia"," 305,033 ","",NA,NA,NA,NA
"SGP",35,NA,"Singapore"," 274,701 ","",NA,NA,NA,NA
"CHL",36,NA,"Chile"," 269,869 ","",NA,NA,NA,NA
"HKG",37,NA,"Hong Kong SAR, China"," 263,259 ","",NA,NA,NA,NA
"EGY",38,NA,"Egypt, Arab Rep."," 262,832 ","",NA,NA,NA,NA
"NGA",39,NA,"Nigeria"," 262,597 ","",NA,NA,NA,NA
"ISR",40,NA,"Israel"," 258,217 ","",NA,NA,NA,NA
"PHL",41,NA,"Philippines"," 250,182 ","",NA,NA,NA,NA
"GRC",42,NA,"Greece"," 249,099 ","",NA,NA,NA,NA
"FIN",43,NA,"Finland"," 247,546 ","",NA,NA,NA,NA
"PAK",44,NA,"Pakistan"," 225,143 ","",NA,NA,NA,NA
"PRT",45,NA,"Portugal"," 212,274 ","",NA,NA,NA,NA
"IRL",46,NA,"Ireland"," 210,771 ","",NA,NA,NA,NA
"IRQ",47,NA,"Iraq"," 210,280 ","",NA,NA,NA,NA
"DZA",48,NA,"Algeria"," 205,789 ","",NA,NA,NA,NA
"PER",49,NA,"Peru"," 203,790 ","",NA,NA,NA,NA
"KAZ",50,NA,"Kazakhstan"," 203,521 ","",NA,NA,NA,NA
"CZE",51,NA,"Czech Republic"," 196,446 ","",NA,NA,NA,NA
"ROM",52,NA,"Romania"," 192,711 ","",NA,NA,NA,NA
"UKR",53,NA,"Ukraine"," 176,309 ","",NA,NA,NA,NA
"QAT",54,NA,"Qatar"," 171,476 ","",NA,NA,NA,NA
